arquivo,Data_pedido,Numero_pedido,Distribuidor,Item,Valor
PEDIDO 32042 DISTRIB R DE OLIVEIRA - VERBA GROOMER.pdf,01/02/2024,32042,10329 - RENATO OLIVEIRA,"Pedido bonificado - acordo Juliete Groomer
valor R$ 500,00
TRANSPORTADORA ATUAL","500,90"
PEDIDO 32044 DISTRIB R DE OLIVEIRA.pdf,01/02/2024,32044,10329 - RENATO OLIVEIRA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH + AMOSTRAS SH NEUTRO
PARA COMPLETAR O 1%
*ENVIADO FLACONETE PERFUME NOVO SEVENTEEN PARA OS
VENDEDORES
TRANSPORTADORA ATUAL","165,90"
PEDIDO 32049 DISTRIB D&G PARCERIA.pdf,01/02/2024,32049,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"Cod 01, porém sem valor a ser pago pela D&G (vide nota a
seguir);
Entrega Express;
Nota: Este pedido refere-se à bonificação devida pela Bemfarma
pela plotagem de 3 ambientes: D&G, Agropecuaria Cardel e
Banho e Tosa do Lar, com valor total já desembolsado pela D&G
de R$2.499,00, a serem divididos igualmente entre D&G e
Bemfarma.
**TRANSPORTADORA GRITSCH","627,65"
PEDIDO 32052 CLIENTE AUQMIA CLINICA VETERINARIA.pdf,02/02/2024,32053,06735 - AUQMIA CLINICA VETERINARIA LTDA,"BONIFICAÇÃO DO PEDIDO DE COMPRA 32052
mandar 2 avental therapet ok
TRANSPORTADORA GRITSCH","34,00"
PEDIDO 32053 CLIENTE AUQMIA CLINICA VETERINARIA.pdf,02/02/2024,32053,06735 - AUQMIA CLINICA VETERINARIA LTDA,"BONIFICAÇÃO DO PEDIDO DE COMPRA 32052
mandar 2 avental therapet ok
TRANSPORTADORA GRITSCH","34,00"
PEDIDO 32054 CLIENTE RENATA GAVA DA SILVA - STYLO PET.pdf,02/02/2024,32054,10769 - RENATA GAVA DA SILVA,"PEDIDO BONIFICADO PARA CL. DA STYLO PET, SOLICITADO PELA
SANDRA/ADM
TRANSPORTADORA GRITSCH","556,50"
PEDIDO 32061 DISTRIB DCLASSE.pdf,06/02/2024,32061,10546 - D CLASSE PRODUTOS VETERINARIOS LTDA,"BONIFICAÇÃO 1% = AVENTAL LECCATO
**ENVIANDO FLACONETES NOVO PERFUME SEVENTEEN**
TRANSPORTADORA TRANSOLIVEIRA","56,10"
PEDIDO 32064 INSTITUTO THERAPET - JALECOS.pdf,06/02/2024,32064,10480 - INSTITUTO THERAPET LTDA,,"312,00"
PEDIDO 32066 DISTRIB TJ.pdf,06/02/2024,32066,10578 - TJ DISTRIBUIDORA PET LTDA,"BONIFICAÇÃO 1% = AVENTAL
ENVIANDO 7 FRASCOS APLICADORES PARA COLONIAS 500ML DA
LECCATO
TRANSPORTADORA GRITSCH","200,50"
PEDIDO 32068 DISTRIB FELIPE RANGEL.pdf,06/02/2024,32068,09008 - FELIPE PINHEIRO CARVALHO RANGEL,"BONIFICAÇAO 1% = AVENTAL TH
*ENVIANDO FLACONETES NOVO PERFUME SEVENTEEN PARA
VENDEDORES P DEMONSTRAÇÃO
TRANSPORTADORA GRITSCH","128,20"
PEDIDO 32070 DISTRIB DREWS.pdf,06/02/2024,32070,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL
TRANSPORTADORA GRITSCH","51,00"
PEDIDO 32071 DISTRIB LIBANIO E OLIVEIRA.pdf,06/02/2024,32071,10471 - LIBANIO & OLIVEIRA COM DE MEDIC VETERINARIOS LTDA,"BONFICAÇÃO 1% = AVENTAIS / ESTOJOS / CANETAS
*BONIFICAÇÃO 10 PLACA RECEPÇÃO+10 PLACA CENTRO
ESTETICO+10 CALENDARIOS 2024+FLACONETES PERFUME NOVO
SEVENTEEN
TRANSPORTADORA ATUAL","985,20"
PEDIDO 32074 DISTRIB J R OLIVEIRA.pdf,06/02/2024,32074,09563 - J R OLIVEIRA COMERCIO ATACADISTA LTDA,"verba grommer - MES DE FEVEREIRO 2024
TRANSPORTADORA TRANSOLIVEIRA","353,90"
PEDIDO 32075 DISTRIB STYLO PET.pdf,06/02/2024,32075,08214 - STYLO PET DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + 1 PISSETA + AMOSTRAS PARA
COMPLETAR 1%
REPOSIÇÃO DE: 1 LEAVE IN REVITALIZANTE 300ML REPOSIÇÃO
AVARIA ULTIMO PEDIDO.
*BONIFICAÇÃO DE 1 KIT TREVILLE, REF ACERTO COM A GROOMER
MARCIA*
TRANSPORTADORA GRITSCH","657,35"
PEDIDO 32081 DISTRIB J R OLIVEIRA.pdf,07/02/2024,32081,09563 - J R OLIVEIRA COMERCIO ATACADISTA LTDA,"BONIFICAÇÃO 1%
TRANSPORTADORA TRANSOLIVEIRA","17,00"
PEDIDO 32083 DISTRIB D&G.pdf,07/02/2024,32083,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA
TRANSPORTADORA GRITSCH","17,00"
PEDIDO 32084 DISTRIB ATIVA PET.pdf,07/02/2024,32084,10426 - ATIVA PET COM E DISTRIB MEDICAMENTOS MAT VETERINARIOS LTDA,"BONIFICAÇÃO 1% = AVENTAL
ENVIADO CALENDARIOS 2024 + FLACONETES NOVO PERFUME
SEVENTEEN PARA DEMONSTRAÇÃO
TRANSPORTADORA ATUAL","184,60"
PEDIDO 32085 GROOMER MARCELO GRANDMAISON - ACORDO VERBA GROOMER.pdf,07/02/2024,32085,10634 - MAISON GROOMER CENTRO DE ESTETICA COM REPR DE ACES PET LTDA,"PEDIDO REF A PARCERIA DE R$ 1.800,00 COM GROOMER MARCELO
GRANDMAISON, REF AO MES DE FEVEREIRO 2024.
**ENVIADO 1 CALENDARIO 2024 + 1 FLACONETE PERFUME NOVO
SEVENTEEN
TRANSPORTADORA GRITSCH","1.836,80"
PEDIDO 32088 DISTRIB CORDEIRO.pdf,08/02/2024,32088,10358 - CORDEIRO DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + SACHES
*ENVIANDO 50 CALENDARIOS 2024 + 20 PLACA RECEPÇÃO + 20
PLACA CENTRO ESTETICO.
BONIFICANDO FLACONETES DO PERFUME NOVO SEVENTEEN PARA
DEMONSTRAÇÃO
TRANSPORTADORA ATUAL","866,60"
PEDIDO 32089 KIT GROOMER NACIONAL NOEL - PRODUTOS.pdf,08/02/2024,32089,10745 - NOEL DA CONCEIÇÃO DOS SANTOS - GROOMER,"PEDIDO PARA REPOSIÇÃO DA BOLSA GROOMER NACIONAL NOEL
TRANSPORTADORA TRANSOLIVEIRA","1.827,60"
PEDIDO 32090 KIT GROOMER NACIONAL NOEL - MATERIAL MARKETING.pdf,08/02/2024,32090,10745 - NOEL DA CONCEIÇÃO DOS SANTOS - GROOMER,"PEDIDO DE 1 KIT GROOMER DE MATERIAL MARKETING PARA
GROOMER NACIONAL NOEL
TRANSPORTADORA TRANSOLIVEIRA","286,15"
PEDIDO 32094 DISTRIB UNIK.pdf,08/02/2024,32094,10302 - UNIK COMERCIO DIGITAL LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH + AMOSTRAS SACHES PARA
COMPLETAR 1%
TRANSPORTADORA SÃO MIGUEL","40,00"
PEDIDO 32095 DISTRIB TOKAS.pdf,08/02/2024,32095,08743 - TOKAS COMERCIAL LTDA,"BONIFICAÇÃO 1% = FLACONETES LECCATO + AVENTAL TH ROSA
ENVIANDO 50 CALENDARIOS 2024
**AS VALVULAS SÃO REPOSIÇÃO DE AVARIA**
TRANSPORTADORA SÃO MIGUEL","594,20"
PEDIDO 32097 DISTRIB DREWS.pdf,09/02/2024,32097,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = SACHES
*ENVIANDO 50 CALENDARIOS 2024
TRANSPORTADORA SÃO MIGUEL","523,00"
PEDIDO 32101 DISTRIB D&G.pdf,13/02/2024,32101,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + FLACONETES CONFORME
SOLICITADO
ENVIADO + 50 CALENDARIOS 2024
****GUSTAVO/DUARTE RETIRAM NA COSMETIC","631,70"
PEDIDO 32107 DISTRIB DREWS.pdf,15/02/2024,32107,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = SACHES FILHOTES TH E FLACONETES
CONFORME SOLICITADO
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 2
TRANSPORTADORA GRITSCH","65,20"
PEDIDO 32124 DISTRIB DREWS.pdf,20/02/2024,32124,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL TH
TRANSPORTADORA GRITSCH","51,00"
PEDIDO 32132 DISTRIB LUIZ GUSTAVO 2.pdf,20/02/2024,32132,06132 - LUIZ GUSTAVO DI GIORGIO SAMPAIO,"BONIFICAÇÃO 1% = AVENTAL ROSA TH
***GUSTAVO RETIRCA COSMETIC","17,00"
PEDIDO 32141 KIT GROOMER NOEL - REPOSIÇÃO DE PRODUTOS P BOLSA.pdf,22/02/2024,32141,10745 - NOEL DA CONCEIÇÃO DOS SANTOS - GROOMER,"PEDIDO COMPLEMENTO DE PRODUTOS PARA BOLSA GROOMER -
NOEL
**IREMOS MANDAR JUNTO COM PEDIDO DA KARLA GROOMER PARA
APROVEITAR O FRETE
TRANSPORTADORA JAMEF","137,00"
PEDIDO 32142 KIT GROOMER KARLA ALENCAR - REPOSIÇÃO DE PRODUTOS P BOLSA.pdf,22/02/2024,32142,10199 - KARLA ALENCAR RODRIGUES GARCIA - GROOMER,"PEDIDO DE PRODUTOS PARA REPOSIÇÃO DA BOLSA GROOMER P/
KARLA ALENCAR
TRANSPORTADORA JAMEF","477,20"
