arquivo,Data_pedido,Numero_pedido,Distribuidor,Item,Valor
PEDIDO 31901 CLIENTE JESSICA LOSI FERRARI.pdf,08/01/2024,31901,08316 - JESSICA LOSI FERRARI,"BONIFICAÇÃO DO PEDIDO DE COMPRA 31899
mandar 3 avental therapet e 4 pissetas ok
TRANSPORTADORA GRITSCH","86,00"
PEDIDO 31902 DISTRIB TJ.pdf,08/01/2024,31902,10578 - TJ DISTRIBUIDORA PET LTDA,"BONIFICAÇÃO 1% = AVENTAL
TRANSPORTADORA GRITSCH","119,00"
PEDIDO 31908 DISTRIB MILAPET.pdf,08/01/2024,31908,09339 - MILAPET DISTRIBUIDORA DE PRODUTOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH + PISSETA
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 6
TRANSPORTADORA GRITSCH","116,85"
PEDIDO 31909 DISTRIB STYLO PET.pdf,08/01/2024,31909,08214 - STYLO PET DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + 1 PISSETA PARA COMPLEMENTO
DO 1%
*REPOSIÇÃO DE 1 VALVULA PERFUME 120, CHEGOU QUEBRADA E
SEM TAMPA NO ULTIMO PEDIDO*
TRANSPORTADORA GRITSCH","232,75"
PEDIDO 31911 DISTRIB FELIPE PINHEIRO RANGEL - EUROSHOPP.pdf,08/01/2024,31911,09008 - FELIPE PINHEIRO CARVALHO RANGEL,"BONIFICAÇÃO 1% = AVENTAL TH
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 2
TRANSPORTADORA GRITSCH","98,20"
PEDIDO 31916 DISTRIB BELEZA PURA.pdf,08/01/2024,31916,10585 - BELEZA PURA ES DISTRIBUIDORA DE PRODUTOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL VERDE TH
BONIFICAÇÃO 10/1 DISPLAY DE LENÇO = 2
*ENVIADO 10 CALENDARIOS 2024
TRANSPORTADORA TRANSOLIVEIRA","371,60"
PEDIDO 31918 DISTRIB BELEZA PURA - KIT MELZINHA.pdf,08/01/2024,31918,10585 - BELEZA PURA ES DISTRIBUIDORA DE PRODUTOS PET LTDA,"PEDIDO BONIFICADO KIT MELZINHA - MES DE JANEIRO 2024 -
PRODUTO SOLICITADO PELA ELISABETE
TRANSPORTADORA TRANSOLIVEIRA","35,00"
PEDIDO 31929 DISTRIB UNIK.pdf,09/01/2024,31929,10302 - UNIK COMERCIO DIGITAL LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH + SACHE PARA COMPLETAR
1%
TRANSPORTADORA GRITSCH","57,00"
PEDIDO 31930 DISTRIB TOKAS.pdf,09/01/2024,31930,08743 - TOKAS COMERCIAL LTDA,"BONIFICAÇÃO 1% = AVENTAL VERDE TH
**ENVIADO 10 CALENDARIOS 2024
**ENVIANDO 3 FRASCOS APLICADORES P COLONIAS DA LECCATO
500ML
TRANSPORTADORA GRITSCH","282,00"
PEDIDO 31934 DISTRIB D&G.pdf,10/01/2024,31934,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + FLACONETE SENSAÇÕES
***GUSTAVO RETIRA NA COSMETIC","114,00"
