arquivo,Data_pedido,Numero_pedido,Distribuidor,Item,Valor
PEDIDO 31923 DISTRIB LRB GOUVEIA - ULTRAVET.pdf,09/01/2024,31923,10398 - L R B GOUVEIA & CIA LTDA,"BONIFICAÇÃO 1% = PISSETA
TRANSPORTADORA SÃO MIGUEL","157,50"
PEDIDO 31956 DISTRIB FELIPE PINHEIRO RANGEL - EUROSHOPP.pdf,15/01/2024,31956,09008 - FELIPE PINHEIRO CARVALHO RANGEL,"BONIFICAÇÃO 1% = AVENTAL TH
TRANSPORTADORA GRITSCH","102,00"
PEDIDO 31958 GUILHERME ENDERSON - KIT GROOMER.pdf,15/01/2024,31958,09474 - GUILHERME ENDERSON PEREIRA DA SILVA SANTOS,"PEDIDO BONIFICADO DE REPOSIÇÃO DE PRODUTOS PARA BOLSA
GROOMER PARA GUILHERME - MES DE JANEIRO 2024
TRANSPORTADORA JAMEF","1.617,40"
PEDIDO 31963 DISTRIB R ARAUJO RODRIGUES.pdf,16/01/2024,31963,09489 - R ARAUJO RODRIGUES,"BONIFICAÇÃO 1% = SACHES
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 2
*REPOSIÇÃO DE AVARIA DO ULTIMO PEDIDO: 4 UNID SH NEUTRO 5L +
1 UNID SH MELANCIA 5L
******TRANSPORTADORA ATUAL","873,20"
PEDIDO 31966 DISTRIB STYLO PET.pdf,16/01/2024,31966,08214 - STYLO PET DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAL TH
**BONIFICADO PELO COMERCIAL 6 FLACONETES DO PERFUME
SEVENTEEN PARA DEMONSTRAÇÃO**
TRANSPORTADORA GRITSCH","186,80"
PEDIDO 31969 DISTRIB GR PET.pdf,16/01/2024,31969,09457 - GR PET COMERCIAL LTDA 3,"BONF / PROMOÇÃO EM PISSETAS
BONIFICAÇÃO 10/1 LECCATO = 6 PISSETAS
TRANSPORTADORA GRITSCH","52,50"
PEDIDO 31970 DISTRIB GR PET.pdf,16/01/2024,31970,09457 - GR PET COMERCIAL LTDA 4,"BONF 1%
TRANSPORTADORA GRITSCH","204,00"
PEDIDO 31972 CLIENTE PET GOLDEN 1.pdf,17/01/2024,31972,10601 - PET GOLDEN 1 LTDA,"BONIFICAÇÃO DO PEDIDO DE COMPRA 31946 - AUTORIZADO SR
MAURO
TRANSPORTADORA JAMEF","328,82"
PEDIDO 31976 CLIENTE BIANCA CAMPOS DA SILVA.pdf,17/01/2024,31976,10603 - BIANCA CAMPOS DA SILVA,"BONIFICAÇÃO DO PEDIDO DE COMPRA 31978
TRANSPORTADORA GRITSCH","51,00"
PEDIDO 31986 CLIENTE VICTOR HUGO DA SILVA.pdf,18/01/2024,31986,10646 - VICTOR HUGO DA SILVA BUSCH CRAVO 12616065746,"BONIFICAÇÃO DO PEDIDO DE COMPRA 31982
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 1
TRANSPORTADORA TRANSOLIVEIRA","101,40"
PEDIDO 31989 DISTRIB J R OLIVEIRA - VERBA GROOMER.pdf,18/01/2024,31989,09563 - J R OLIVEIRA COMERCIO ATACADISTA LTDA,"valor grommer - MÊS DE JANEIRO 2024
TRANSPORTADORA TRANSOLIVEIRA","371,00"
PEDIDO 31990 DISTRIB J R OLIVEIRA.pdf,18/01/2024,31990,09563 - J R OLIVEIRA COMERCIO ATACADISTA LTDA,"BONIFICAÇÃO 1% = PISSETA
ENVIADO 5 FLACONETES DO NOVO PERFUME SEVENTEEN PARA OS
VENDEDORES+GROOMER
TRANSPORTADORA TRANSOLIVEIRA","37,75"
PEDIDO 32019 DISTRIB UNIK.pdf,25/01/2024,32019,10302 - UNIK COMERCIO DIGITAL LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH
BONIFICAÇÃO 10/1 DISPLAY DE LENÇO = 1 UNID
TRANSPORTADORA GRITSCH","91,60"
PEDIDO 32022 DISTRIB TOKAS.pdf,25/01/2024,32022,08743 - TOKAS COMERCIAL LTDA,"BONIFICAÇÃO 1% = AVENTAL VERDE TH + AMOSTRAS PARA
COMPLETAR 1%
BONIFICAÇÃO 10/1 DISPLAY DE LENÇO = 1 UNID
**REPOSIÇÃO: 3 VALVULAS PERFUME 500ML(CHEGOU QUEBRADA) +
2 UNID SPRAY FIXADOR(ESTAVA VALIDADE P FEVEREIRO 2024)
TOKAS IRÁ DEVOLVER O PRODUTO VENCIDO","332,60"
PEDIDO 32029 DISTRIB TOKAS.pdf,29/01/2024,32029,08743 - TOKAS COMERCIAL LTDA,"BONIFICAÇÃO 1% = AVENTAL ROSA TH
*BONIFICADO 4 FLACONETES DO NOVO PERFUME SEVENTEEN*
TRANSPORTADORA GRITSCH","43,20"
PEDIDO 32030 DISTRIB VETCOM.pdf,30/01/2024,32030,09942 - VETCOM DISTRIBUIDORA DE RACOES EIRELI,"BONIFICAÇÃO 5% = ITENS ESCOLHIDO PELA VETCOM
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 5
ENVIANDO 10 CALENDARIOS 2024 + 12 FLACONETE NOVO PERFUME
SEVENTEEN
TRANSPORTADORA ATUAL","1.667,90"
PEDIDO 32031 DISTRIB STYLO PET - VERBA GROOMER.pdf,30/01/2024,32031,08214 - STYLO PET DISTRIBUIDORA LTDA,"Pedido bonificação Groomer - MÊS DE JANEIRO 2024
TRANSPORTADORA GRITSCH","1.357,50"
PEDIDO 32033 DISTRIB L.L DE OLIVEIRA.pdf,30/01/2024,32033,07888 - L.L. DE OLIVEIRA LTDA,"BONIFICAÇÃO 1% = AVENTAL
**ENVIANDO FLACONETES NOVO PERFUME SEVENTEEN
TRANSPORTADORA AZURELOG","128,20"
PEDIDO 32037 DISTRIB HORSE HOOFCARE.pdf,30/01/2024,32037,10678 - HORSE HOOFCARE LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + AMOSTRAS + 2 VALVULAS P
BB5L
BONIFICAÇÃO 10/1 DISPLAY DE LENÇO = 2
*ENVIADO FLACONETE NOVO PERFUME SEVENTEEN
*ENVIANDO FRASCO APLICADOR PARA COLONIA LECCATO
TRANSPORTADORA TRANSOLIVEIRA","233,50"
PEDIDO 32039 DISTRIB HORSE HOOFCARE - KIT GROOMER.pdf,30/01/2024,32039,10678 - HORSE HOOFCARE LTDA,"PEDIDO DE 1 KIT GROOMER, LINHA THERAPET/LECCATO
AUTORIZADO PELO SR MAURO/LUIZ, DEFINIDA NA REUNIÃO DE
VENDAS EM JANEIRO 2024
TRANSPORTADORA TRANSOLIVEIRA","2.426,10"
PEDIDO 32040 DISTRIB HORSE HOOFCARE - KIT GROOMER.pdf,30/01/2024,32040,10678 - HORSE HOOFCARE LTDA,"PEDIDO DE 1 KIT GROOMER, MATERIAL MARKETING, AUTORIZADO
PELO SR MAURO/LUIZ, DEFINIDA NA REUNIÃO DE VENDAS EM
JANEIRO 2024
TRANSPORTADORA TRANSOLIVEIRA","436,15"
PEDIDO 32045 DISTRIB VETCOM.pdf,31/01/2024,32045,09942 - VETCOM DISTRIBUIDORA DE RACOES EIRELI,"BONFICAÇÃO DE 2 JALECOS ROSA TAMANHO G - bonificação ref. a
parceria com a Loja Migu pet, para filmagens da inauguração
da loja. AUTORIZADO SR MAURO/LUIZ
TRANSPORTADORA ATUAL","150,00"
PEDIDO 32103 DISTRIB BELEZA PURA.pdf,14/02/2024,32103,10585 - BELEZA PURA ES DISTRIBUIDORA DE PRODUTOS PET LTDA,"BONIFICAÇÃO 1% = ESTOJOS THERAPET/SENSAÇÃO + AVENTAL
VERDE TH
**BONIFICAÇÃO: 50 CALENDARIOS 2024 + FLACONETE NOVO
PERFUME SEVENTEEN
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 2
TRANSPORTADORA JAMEF","828,00"
PEDIDO 32110 DISTRIB BELEZA PURA - REPOSIÇÃO DE PRODUTOS.pdf,15/02/2024,32110,10585 - BELEZA PURA ES DISTRIBUIDORA DE PRODUTOS PET LTDA,"PEDIDO DE REPOSIÇÃO DE PRODUTOS: 5 UNID HIDRATANTE DE
PATINHAS, QUE A DISTRIBUIDORA BELEZA PURA RECEBEU UM LOTE
(001/23) QUE CONSTAVA ALTERAÇÕES NO PRODUTO. ESTAMOS
REPONDO OS PRODUTOS COM O LOTE NOVO. DISTRIB IRÁ
DEVOLVER 5 UNID DOS PRODUTOS COM ALTERAÇÃO.
TRANSPORTADORA JAMEF","125,00"
PEDIDO 32111 DISTRIB FELIPE RANGEL.pdf,15/02/2024,32111,09008 - FELIPE PINHEIRO CARVALHO RANGEL,"BONIFICAÇÃO 1% = AVENTAL TH + 1 PISSETA PARA COMPLETAR 1%
ENVIADO + 50 CALENDARIOS 2024
TRANSPORTADORA GRISTCH","551,75"
